delta,alpha,beta,omega,gamma,x_mean,x_rms,x_max,x_min,x_std,dom_freq,label_gamma,lyapunov,periodic,base_id
0.0673265518589309,-0.9208531449445188,0.4655576382979115,0.4264442168456466,4.085024172081335,-0.08411987942908099,1.975855740202785,3.734235339585393,-3.768072137735877,1.9740642725040976,0.06998599999999999,4.085024172081335,-0.012232199556251015,True,0
0.09214800195499497,0.42654310306871945,1.5671944975743974,1.2697999863446765,4.681854876560064,-0.01362119473728946,1.2011341917376597,2.3339396688137177,-2.5499262021589955,1.2010569551920547,0.19995999999999997,4.681854876560064,-0.04556147359063041,True,1
0.0834268198709379,-1.9890459993194076,1.771846842540111,0.453736920488743,3.6753116875067264,-0.09938612260974915,1.3181446494510758,2.3896053976453606,-2.1708257087966034,1.3143925271809402,0.06998599999999999,3.6753116875067264,-0.039962220157266144,True,2
0.025809005854230314,1.4527156893995463,1.2663379523985467,0.8795390248598157,2.171167383868527,-0.0034188016137969355,0.798612896472707,1.6762782671876246,-1.7427663143901169,0.7986055786231724,0.13997199999999999,2.171167383868527,-0.01287508463230392,True,3
0.012548770403091668,-1.5028668940017442,1.4729990635098087,1.4355032185188001,3.115387046258144,-0.04273646413943061,1.4442842760078294,2.905381940875982,-2.9604175855776553,1.4436518501897608,0.22995399999999996,3.115387046258144,0.12226771952684613,False,4
0.044530979883569514,1.988839743156844,1.9693365420419684,1.4968671751691116,3.2872504537123004,-0.004077919253000427,0.9471313547085659,1.8922248667896608,-1.8964579927169731,0.9471225758298919,0.23995199999999994,3.2872504537123004,-0.017923040991099707,True,5
0.0719602057513846,-0.44431430408358485,0.616154408035858,1.554381344310531,2.6742361801310572,0.02114584159125598,1.949423487626219,3.7648824153619618,-3.766305575728649,1.949308797366946,0.24994999999999995,2.6742361801310572,-0.030017589619855893,True,6
0.03792176880030601,-0.05665856467284369,1.8231805349584005,1.8944696255299998,1.8531964638744443,0.0032673772926203547,1.2587577232021188,2.4974389208860615,-2.4745159849661853,1.2587534826035673,0.29993999999999993,1.8531964638744443,-0.011235342501965881,True,7
0.06143768476567849,-0.7125224356962314,1.350880048319515,0.9406579608114133,2.01893310258799,0.03202233135942821,1.154722070887413,2.2560236160349803,-2.2689536277245885,1.1542779696801038,0.14996999999999996,2.01893310258799,-0.006383231501364534,True,8
0.09012469168043132,-1.0913696258664811,1.397099431497668,0.5344245497318157,4.179956323501649,0.0019125733229422878,1.334349932749356,2.5949652753391135,-2.4521459506849506,1.3343485620674589,0.08498299999999999,4.179956323501649,0.08256781246626561,False,9
0.0808388476739815,-1.0425222280281914,1.8023747692971264,0.49370885568831097,1.746973596673736,-0.050656115837848265,0.9544482652606335,1.9265949322363425,-1.9257703813988982,0.9531030631507041,0.07998399999999999,1.746973596673736,0.10423517080934434,False,10
0.02352515202053552,-0.1986425334028521,1.674118832459671,0.7690275343899959,0.35490437521560714,0.0196451218670893,0.651908968462885,1.3119411356108812,-1.1711599608054177,0.6516129006927118,0.12497499999999997,0.35490437521560714,-0.01111894103102057,True,11
0.04640966558393755,-1.2059478219629787,0.5452048729905951,1.328531817578961,1.563611050812721,0.02439939003361351,1.855415781114832,3.7735765208413583,-3.80937824700623,1.855255343766984,0.21495699999999995,1.563611050812721,-0.01931942539421202,True,12
0.07047953901607235,-1.2019382241271468,1.9073809768103964,0.9841762691917257,0.6169268698941247,0.06346078793879761,0.8582111789306186,1.7148641653017027,-1.7272206250883049,0.8558616453818159,0.15496899999999997,0.6169268698941247,-0.03273322364384161,True,13
0.06661973363857383,1.7086182122714697,1.1046034475452544,1.9273447899051797,2.5494894870694704,0.002364397458778054,1.3792969782553681,2.7439817926040684,-2.6570102811193683,1.3792949517231792,0.30493899999999996,2.5494894870694704,-0.029609454463270603,True,14
0.048270576236416805,0.48085380806151123,1.9921544083765186,1.9183098799004248,2.354221182614571,0.007405407473029732,1.1991189888235323,2.3726645237047164,-2.358439081772197,1.1990961217922977,0.30493899999999996,2.354221182614571,-0.018538338275288342,True,15
0.07819559607774623,-0.010309218049524116,1.2468994563148326,1.657257121142092,2.131813661842787,0.0034474934208222805,1.38131980324149,2.661029774783338,-2.677737002392102,1.381315501113421,0.26494699999999993,2.131813661842787,-0.03464629035595472,True,16
0.07610352146098565,0.8445715119589994,1.8912954985814054,0.5838922132494484,3.6721740736739164,-0.05386178183433121,0.9392511103347573,1.738952761375179,-1.6010611985204701,0.937705474401587,0.09498099999999998,3.6721740736739164,-0.03684241762729201,True,17
0.0934681535762104,1.8717047596985856,0.4235300879445909,1.7818241443929215,4.907855696325087,-0.008087160393449238,2.1052238848379807,4.037387522414001,-4.202875419736903,2.1052083514771383,0.28494299999999995,4.907855696325087,-0.04227996992691415,True,18
0.09614891616498672,-1.4049439510700084,1.9562061021167279,1.823896889152833,4.129631754961045,0.032309203010299235,1.4419337072956353,2.860436267049308,-2.841922975169924,1.4415716879975737,0.2899419999999999,4.129631754961045,-0.04094067047011264,True,19
0.053198913142704904,-1.0705083214427846,1.6830089259492929,1.8776482556535514,1.4040383342322338,0.012991164189944206,1.3750665089770118,2.5571602981624797,-2.605365243892479,1.375005139540655,0.29993999999999993,1.4040383342322338,-0.02313520959983504,True,20
0.05850409668599683,-0.228988684101874,1.8896277055698483,0.4648171379014954,3.686830358717148,-0.02066717007778614,1.0200529880895566,1.9782947647003952,-1.9813268821868832,1.0198435990834127,0.07498499999999998,3.686830358717148,0.06204861438693407,False,21
