delta,alpha,beta,omega,gamma,x_mean,x_rms,x_max,x_min,x_std,dom_freq,periodic,label_gamma,base_id
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,0.1,-7.201981404743787e-05,0.0584298763103761,0.14887520346154517,-0.16160501649813275,0.0584298319250726,0.22995399999999996,True,0.1,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,0.3,-0.0005440616778612835,0.17126888830296103,0.37619882762805257,-0.36976019329431037,0.17126802415343859,0.22995399999999996,True,0.3,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,0.5,-0.0010147692685960976,0.2867711198038893,0.609775382964208,-0.5773959044824366,0.28676932436526076,0.22995399999999996,True,0.5,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,0.7,-0.001487147791394197,0.4063881940058362,0.8512723136204158,-0.7830369958655308,0.406385472942589,0.22995399999999996,True,0.7,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,0.8999999999999999,-0.0019679624901091175,0.5325806410285401,1.1018022883363523,-0.9858720643635729,0.5325770050631253,0.22995399999999996,True,0.8999999999999999,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,1.0999999999999999,-0.0024791121417334274,0.6692837820944807,1.3603079311927453,-1.2818127482308164,0.6692791906055955,0.22995399999999996,True,1.0999999999999999,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,1.3,-0.0030553735274662236,0.8239422082159181,1.6249286822392537,-1.6154544947073755,0.8239365431708506,0.22995399999999996,True,1.3,0
0.28031973111511554,0.9009273926518706,0.14415961271963373,1.4486494471372438,1.5,-0.0037833844744630794,1.0157630436995218,1.9347628997793973,-1.9743616136875513,1.015755997741404,0.22995399999999996,True,1.5,0
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,0.1,-0.23365955534076893,0.3359040901954584,0.6473501704182998,-0.6482997898999061,0.24131881403652058,0.14497099999999996,False,0.1,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,0.3,-0.08575236535597741,0.2834559540314904,0.687067655250108,-0.7676669244709584,0.27017366583691566,0.14497099999999996,True,0.3,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,0.5,-0.00047667609601521264,0.9726324681449295,1.6994996837894332,-1.6220387762938138,0.9726323513381595,0.14497099999999996,True,0.5,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,0.7,0.0005841476811143124,1.0207161264657407,1.8102398795495265,-1.8076006346250137,1.0207159593142026,0.14497099999999996,True,0.7,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,0.8999999999999999,0.0007613950351541604,1.0594067731585202,1.9664398754953263,-1.762430362294384,1.059406499551399,0.14497099999999996,True,0.8999999999999999,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,1.0999999999999999,-0.0036886043096730644,1.0929708525040314,2.035552689631662,-1.9459040037402155,1.0929646282573082,0.14497099999999996,True,1.0999999999999999,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,1.3,-0.0035650355289533193,1.1235692810707076,2.0572362315034334,-2.0741459413043897,1.123563625206612,0.14497099999999996,True,1.3,1
0.19032415340471848,-0.1533471020548487,0.8277025938204418,0.9091991363691613,1.5,-0.002075919182931122,1.1499027013425365,2.051053969003546,-2.1878907022649994,1.1499008275127072,0.14497099999999996,True,1.5,1
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,0.1,1.0994442376435436,1.1069896887843766,1.371254031442183,0.1,0.1290292191224089,0.16496699999999997,False,0.1,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,0.3,0.29496272634167625,0.9434786580390071,1.5957271187270532,-1.610769835159061,0.8961857889099621,0.019995999999999996,False,0.3,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,0.5,-0.05714837851469763,0.9683019597638826,1.6640936884543625,-1.6688751190368614,0.9666140636860797,0.04998999999999999,False,0.5,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,0.7,-0.006059774012534612,1.2969197272032074,2.09397775144024,-2.0844914052590067,1.2969055701737728,0.16496699999999997,True,0.7,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,0.8999999999999999,0.023772711170225863,1.3369221686071469,2.180278176106229,-2.218596290333404,1.3367107926237647,0.16496699999999997,True,0.8999999999999999,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,1.0999999999999999,0.004641686032940471,1.3827319200308323,2.3492291170131843,-2.348527120999225,1.3827241291822907,0.16496699999999997,True,1.0999999999999999,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,1.3,0.006598559081922667,1.409746426370149,2.4261424841517436,-2.442838297388364,1.4097309834438088,0.16496699999999997,True,1.3,2
0.2973171594528768,-0.9448817735138633,0.7535131086748066,1.0381433132192783,1.5,0.006382497803610192,1.4329650752932037,2.5557848304761137,-2.4036674751723175,1.4329508612411817,0.16496699999999997,True,1.5,2
