delta,alpha,beta,omega,gamma,x_mean,x_rms,x_max,x_min,x_std,dom_freq,periodic,label_gamma
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.1,3.277499480514148,3.3085428650845645,3.9369085010467053,0.1,0.4521648430953814,0.07998399999999999,False,0.1
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.2,3.2757838516073448,3.3060049619208405,3.854079166714242,0.1,0.44599211404885253,0.07998399999999999,False,0.2
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.3,3.257217280703902,3.292789811071186,4.044656394551347,0.1,0.48270107331358936,0.07998399999999999,False,0.3
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.4,3.220855276601566,3.267942560288579,4.256609098441624,0.1,0.5527566051467161,0.07998399999999999,False,0.4
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.5,3.1620614586349713,3.2282710838286417,4.501596757533115,0.1,0.6504625450396284,0.07998399999999999,False,0.5
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.6,3.064010977444103,3.1628741597662633,4.787395374443755,0.1,0.7846079789418277,0.07998399999999999,False,0.6
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.7,2.66384143313732,3.023299973042084,4.9157549777485725,-4.376238806481637,1.4297872380522822,0.08498299999999999,False,0.7
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.7999999999999999,-1.1688728077316732,2.737108128980477,5.074716764198741,-5.1030857407920385,2.4749741956385085,0.009997999999999998,False,0.7999999999999999
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.8999999999999999,0.34301378066766136,3.09125897672163,5.215850244083173,-5.114546261731563,3.0721692022794143,0.07998399999999999,False,0.8999999999999999
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,0.9999999999999999,0.08633643900008488,3.279448162810198,5.39951117111904,-5.3986206404672785,3.2783114970758906,0.08498299999999999,False,0.9999999999999999
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,1.0999999999999999,0.08650498599374717,3.355315829817845,5.574440155683537,-5.575993803801528,3.3542005314567045,0.07998399999999999,False,1.0999999999999999
0.3366327592946544,-0.4604265724722594,0.04097352393619469,0.5165276355285291,1.2,0.08510809159793535,3.4057784127156494,5.701896807171361,-5.72659264218837,3.4047148499198117,0.07998399999999999,False,1.2
