delta,alpha,beta,omega,gamma,x_mean,x_rms,x_max,x_min,x_std,dom_freq,label_gamma,lyapunov,periodic,base_id
3.202960352241199,-2.302132862361297,0.20486761968097345,0.18098541408979257,4.085024172081335,0.16707157182517807,2.729154826699035,4.076965676157268,-3.8795313550537216,2.7240361888166067,0.029993999999999993,4.085024172081335,-0.4291574003713451,True,0
4.568140107524722,1.066357757671799,3.647482804919992,2.7637624581805724,4.681854876560064,0.0010066554104698252,0.2351597319920746,0.3876401542819198,-0.33250530249535637,0.23515757737200163,0.4399119999999999,4.681854876560064,-0.4009397742872076,True,1
4.088475092901584,-4.9726149982985195,4.287021382937847,0.2645693189967754,3.6753116875067264,0.051149748705191005,1.0326543104585948,1.4188131047319499,-1.4188128348179563,1.0313867500196576,0.03999199999999999,3.6753116875067264,-0.579579006437896,True,2
0.9194953219826671,3.631789223498865,2.7073061012454587,1.5685882636331856,2.171167383868527,-0.001630976475713687,0.5444771475914992,0.8649388226224559,-0.8198495107858117,0.5444747047982219,0.24994999999999995,2.171167383868527,-0.45913611658575654,True,3
0.1901823721700417,-3.757167235004361,3.3531220734681515,3.2712286067138256,3.115387046258144,0.02980017067429154,1.013096986007874,1.9001277559470888,-1.8745736092252205,1.012658606286453,0.17996399999999996,3.115387046258144,0.4806057078606525,False,4
1.9492038935963232,4.972099357892111,4.90417669388115,3.4591557239554045,3.2872504537123004,-0.00026548285867071596,0.24749531626266918,0.3884413658840511,-0.41023041133319205,0.24749517387377556,0.5498899999999999,3.2872504537123004,-0.9686959706853197,True,5
3.4578113163261532,-1.1107857602089624,0.6754825251120561,3.6352928669510005,2.6742361801310572,1.228657470456586,1.246605992012863,1.4276017696777692,0.025938220141261258,0.21077789166228303,0.5798839999999998,2.6742361801310572,-0.8325109152675223,True,6
1.5856972840168306,-0.14164641168210945,4.4474391717450015,4.676813228185623,1.8531964638744443,0.14598577573360036,0.1569455878693001,0.22938300694008934,0.025526270772195964,0.05762005584081939,0.7448509999999998,1.8531964638744443,-0.13628324728879082,True,7
2.8790726621123164,-1.7813060892405783,2.9715001509984837,1.7557650049849531,2.01893310258799,0.6075836703368362,0.6655962299075987,1.0281574871401167,0.1,0.27177274478362906,0.27994399999999997,2.01893310258799,-0.4474313952118031,True,8
4.456858042423722,-2.7284240646662026,3.115935723430212,0.5116751835536857,4.179956323501649,0.017110739652457255,0.9549745713332062,1.368697705403599,-1.368723713073775,0.95482126834376,0.07998399999999999,4.179956323501649,-1.2153231181001047,True,9
3.9461366220689826,-2.6063055700704787,4.382421154053519,0.3869833705454523,1.746973596673736,0.019047345361549936,0.6417703507372502,0.9711907686051431,-0.9312894202481958,0.6414876317748386,0.059987999999999986,1.746973596673736,-0.85554317573995,True,10
0.7938833611294535,-0.49660633350713024,3.981621351436471,1.2301468240693625,0.35490437521560714,0.19128090406077658,0.2525508646360913,0.513306006243871,-0.08711597824019346,0.16490468450025692,0.19496099999999997,0.35490437521560714,-0.018180064739667393,True,11
2.0525316071165647,-3.0148695549074467,0.4537652280956095,2.9436286913355687,1.563611050812721,2.533002159103479,2.5495049229754287,2.82305986339169,0.1,0.28961252433736345,0.46990599999999993,1.563611050812721,-1.0214220436932155,True,12
3.376374645883979,-3.004845560317867,4.710565552532489,1.8890398243996602,0.6169268698941247,0.7838994278197615,0.788601119633475,0.8833041138475993,0.1,0.0859849577020358,0.29993999999999993,0.6169268698941247,-1.6864650738558626,True,13
3.1640853501215607,4.271545530678674,2.20188577357892,4.777493419084612,2.5494894870694704,0.0002704390096055814,0.0757014426130488,0.16870361708615278,-0.11071839876276644,0.07570095954767551,0.7598479999999999,2.5494894870694704,-1.5741596264432365,True,14
2.154881693002924,1.2021345201537779,4.975482526176621,4.74982400719505,2.354221182614571,0.0007157397280796337,0.07098162569063106,0.20329237926734942,-0.09983645938983358,0.07097801703574498,0.7548489999999999,2.354221182614571,-1.066290943888906,True,15
3.8007577842760427,-0.025773045123810512,2.646560800983852,3.950349933497657,2.131813661842787,0.05490182175615173,0.09053014674318226,0.2051873199538144,-0.06606236334863963,0.07198261899373944,0.6298739999999999,2.131813661842787,-0.0067299132208475535,True,16
3.6856936803542104,2.1114287798974987,4.660298433066891,0.6631699030764354,3.6721740736739164,0.0020391917235934257,0.560490826472822,0.7896825387599314,-0.7896824848430073,0.560487116941417,0.10497899999999998,3.6721740736739164,-1.5765327818404566,True,17
4.640748446691571,4.679261899246464,0.07353152482684644,4.331836442203321,4.907855696325087,0.00042969350290261347,0.14157437872192644,0.240993876307249,-0.20025258313076744,0.14157372663737086,0.6898619999999999,4.907855696325087,-1.4750489771847284,True,18
4.78819038907427,-3.5123598776750207,4.8631440691147745,4.460684223030551,4.129631754961045,0.8168425844090716,0.827594991371585,0.9913864930917121,0.09889594759694546,0.13297241081984879,0.7098579999999999,4.129631754961045,-2.389187856924237,True,19
2.425940222848769,-2.6762708036069616,4.009402893591539,4.6252977829390005,1.4040383342322338,0.8053386568804776,0.8091947214281168,0.8971355716239974,0.1,0.078903389794585,0.7348529999999999,1.4040383342322338,-1.205565632510579,True,20
2.7177253177298253,-0.5724717102546855,4.655086579905775,0.29850248482332975,3.686830358717148,0.009761950746165312,0.7865920119948793,1.074586230219553,-0.9897239620601622,0.7865314346240598,0.04998999999999999,3.686830358717148,-0.7782119178934771,True,21
